Full Address,Latitude,Longitude,category,rating,no_of_rating,location,phone_no,type
"K.Ramu Poo Kadai Singaperumal Koil, Tamil Nadu",12.7615279,80.0033757,Flower designer,5,44,"Singaperumal Koil, Tamil Nadu",094442 58315,
"Aravind Bakery Maraimalai Nagar, Tamil Nadu",12.7950624,80.0263511,Bakery and Cake Shop,4.1,663,"Maraimalai Nagar, Tamil Nadu",099404 88498,Delivery
"Jeyachandran Textiles Chennai, Tamil Nadu",13.0843007,80.2704622,Clothing store,3.8,1900,"Chennai, Tamil Nadu",044 2433 9971,"In-store shopping,Delivery"
"Jayalakshmi Stores Chennai, Tamil Nadu",13.0345356,80.1559984,Grocery store,4.7,133,"Chennai, Tamil Nadu",099411 45690,Delivery
"Kani Stores Chennai, Tamil Nadu",13.0843007,80.2704622,Grocery store,3.8,10,"Chennai, Tamil Nadu",099401 30259,In-store shopping
"kk supermarket Kayarambedu, Tamil Nadu",12.8158839,80.076629,Grocery store,3.9,76,"Kayarambedu, Tamil Nadu",094437 89315,Delivery
"Selection Readymades & Textiles Chengalpattu, Tamil Nadu",12.6942329,79.9761149,Clothing store,3.9,50,"Chengalpattu, Tamil Nadu",099945 88450,Delivery
"Village Special native Sweets & snacks Chennai, Tamil Nadu",12.9203721,80.1864371,Indian sweets shop,4.6,42,"Chennai, Tamil Nadu",075488 78838,
"Fashion shop tnagar Chennai, Tamil Nadu",13.0377266,80.2332148,Clothing store,4.3,4,"Chennai, Tamil Nadu",,
"Jeyam Vegetables Maraimalai Nagar, Tamil Nadu",12.7943055,80.026144,Fruit and vegetable store,4.1,372,"Maraimalai Nagar, Tamil Nadu",099402 44159,
"Lava Cakes Chennai, Tamil Nadu",12.9678311,80.246737,Bakery and Cake Shop,4.2,1500,"Chennai, Tamil Nadu",090030 63010,"Dine-in,Takeaway"
"R.K.NATURAL OILS & SNACKS Chennai, Tamil Nadu",12.8737048,80.2430707,Store,4.8,66,"Chennai, Tamil Nadu",,
"Hamleys Chennai, Tamil Nadu",13.0843007,80.2704622,Toy store,4.2,3100,"Chennai, Tamil Nadu",096192 04490,"In-store pick-up,Delivery"
"Sri Krishna sweets Chennai, Tamil Nadu",13.0843007,80.2704622,Sweet shop,4.2,621,"Chennai, Tamil Nadu",044 4957 7187,"In-store pick-up,Delivery"
"SS STORES WHOLE SALE AND RETAIL Chennai, Tamil Nadu",12.913003,80.191768,Indian grocery store,4.8,30,"Chennai, Tamil Nadu",,
"Thiraviyam Coffee Shop Chennai, Tamil Nadu",12.9808356,80.1883527,Cafe,4.2,591,"Chennai, Tamil Nadu",,"Dine-in,Kerbside pickup"
"Renasci Fashion House Chennai, Tamil Nadu",13.0587199,80.2475934,Boutique,4.7,82,"Chennai, Tamil Nadu",098847 62192,"In-store shopping,Delivery"
